rr,or_minutes,offset_ticks,direction,bias,max_or_points,trades,net,pf,win,maxdd
1.0,30,1,long,none,180,291,5050.659999999998,1.2339782877992327,57.73195876288659,-1828.9000000000003
1.0,30,1,long,none,250,345,6429.199999999997,1.2223554907197398,58.26086956521739,-1828.9000000000003
1.0,30,1,long,vwap,0,248,3395.4799999999977,1.1434796351103977,59.2741935483871,-2871.1399999999976
1.0,30,1,long,vwap,90,60,1467.0999999999997,1.4962252918972314,61.66666666666667,-521.1600000000001
1.0,30,1,long,vwap,130,134,3765.84,1.457631443994274,61.19402985074627,-911.6800000000001
1.0,30,1,long,vwap,180,198,1825.4799999999982,1.1148684362871193,58.080808080808076,-2522.0399999999877
1.0,30,1,long,vwap,250,233,1362.0799999999979,1.0636358709566498,58.36909871244635,-2500.08
1.0,30,1,long,vwap_slope,0,218,2968.179999999998,1.1456179409262655,58.256880733944946,-2823.8999999999924
1.0,30,1,long,vwap_slope,90,48,177.97999999999956,1.0597392658628935,54.166666666666664,-720.6200000000001
1.0,30,1,long,vwap_slope,130,112,3578.119999999999,1.531288234246006,59.82142857142857,-708.9399999999994
1.0,30,1,long,vwap_slope,180,174,3165.239999999998,1.2363308111692002,57.47126436781609,-1727.3200000000002
1.0,30,1,long,vwap_slope,250,204,2501.039999999998,1.1389340082348043,57.84313725490197,-1727.3200000000002
1.0,30,1,short,none,0,336,5283.859999999998,1.15342271808148,51.78571428571429,-2993.9999999999945
1.0,30,1,short,none,90,81,796.0599999999994,1.16726198480468,51.85185185185185,-848.4000000000001
1.0,30,1,short,none,130,170,5331.199999999999,1.4988023952095808,55.88235294117647,-1152.359999999997
1.0,30,1,short,none,180,257,2594.319999999998,1.114785403433757,50.583657587548636,-1784.5199999999975
1.0,30,1,short,none,250,317,5553.419999999997,1.1833645796669245,51.73501577287066,-2776.659999999998
1.0,30,1,short,vwap,0,204,5967.539999999999,1.2844044917259931,54.90196078431373,-1990.0599999999904
