rr,or_minutes,offset_ticks,direction,net1,pf1,tr1,net2,pf2,tr2,min_net,sum_net,n_pos
1.0,30,4,short,3320.699999999999,1.2057761330173806,170,1497.659999999999,1.079558324497415,166,1497.659999999999,4818.359999999998,2
1.0,30,8,both,8109.559999999999,1.3386300564469718,256,2775.1399999999976,1.0975278722354436,264,2775.1399999999976,10884.699999999997,2
1.0,30,8,long,6582.279999999999,1.4607020122484682,178,2964.3599999999997,1.170696511511402,186,2964.3599999999997,9546.64,2
1.0,30,8,short,3285.4399999999987,1.203594432236611,169,725.1399999999987,1.0382121635607493,164,725.1399999999987,4010.579999999997,2
1.0,60,0,both,3384.239999999998,1.1488310728798357,249,5187.559999999998,1.2187915171872188,256,3384.239999999998,8571.799999999996,2
1.0,60,0,long,2265.5999999999985,1.1870421158478899,160,4767.339999999999,1.4194999445634329,159,2265.5999999999985,7032.939999999998,2
1.0,60,0,short,3336.119999999999,1.2424230973814012,137,3003.3999999999987,1.2042359546130232,140,3003.3999999999987,6339.519999999998,2
1.0,60,1,both,3309.239999999998,1.145006638535053,249,5121.059999999998,1.2152559670726535,256,3309.239999999998,8430.299999999996,2
1.0,60,1,long,2209.0999999999985,1.1816502868119148,160,4713.339999999999,1.413166734456304,159,2209.0999999999985,6922.439999999998,2
1.0,60,1,short,3308.619999999999,1.2395717479957364,137,2986.3999999999987,1.2024329369722093,140,2986.3999999999987,6295.019999999998,2
1.0,60,2,both,2786.739999999998,1.1204840217315177,249,5054.559999999998,1.2117442627181192,256,2786.739999999998,7841.299999999996,2
1.0,60,2,long,2152.5999999999985,1.1763012928979886,160,4659.339999999999,1.4068816400526054,159,2152.5999999999985,6811.939999999998,2
1.0,60,2,short,2833.619999999999,1.2011756938084386,137,2969.3999999999987,1.2006413712858641,140,2833.619999999999,5803.019999999998,2
1.0,60,3,both,2709.739999999998,1.1167323187416855,249,4988.059999999998,1.2082561636903812,256,2709.739999999998,7697.799999999996,2
1.0,60,3,long,2096.0999999999985,1.1709912779030422,160,4605.339999999999,1.4006441150986009,159,2096.0999999999985,6701.439999999998,2
1.0,60,3,short,2804.119999999999,1.1983771126187628,137,2952.3999999999987,1.1988611487929168,140,2804.119999999999,5756.519999999998,2
1.0,60,4,both,2830.739999999998,1.1227924820327388,249,4751.059999999998,1.1976967434335628,256,2830.739999999998,7581.799999999996,2
1.0,60,4,long,1680.5999999999985,1.1365506617092642,160,4551.339999999999,1.3944536215781476,159,1680.5999999999985,6231.939999999998,2
1.0,60,4,short,2774.619999999999,1.19559826017074,137,2764.8999999999987,1.185644245760242,140,2764.8999999999987,5539.519999999998,2
1.0,60,8,both,2427.239999999998,1.104662925563429,249,5238.299999999999,1.2210407986382166,255,2427.239999999998,7665.539999999997,2
1.0,60,8,long,1068.3399999999988,1.0845104069763765,159,4883.34,1.4322457867157627,159,1068.3399999999988,5951.6799999999985,2
1.0,60,8,short,2135.3599999999988,1.1495163768101735,136,3271.119999999999,1.2267545276455685,137,2135.3599999999988,5406.479999999998,2
1.25,1,0,both,258.55999999999966,1.0288987493154207,256,-3886.080000000001,0.7545377369931683,267,-3886.080000000001,-3627.5200000000013,1
1.25,1,0,long,-2024.4400000000003,0.7753014013971795,231,-1851.8800000000006,0.8604446467408097,237,-2024.4400000000003,-3876.3200000000006,0
1.25,1,0,short,-519.4000000000003,0.938855560682972,235,-4492.060000000001,0.6965287733089408,244,-4492.060000000001,-5011.460000000002,0
1.25,1,1,both,496.05999999999966,1.055258256545529,256,-3875.080000000001,0.7574199784155189,267,-3875.080000000001,-3379.0200000000013,1
1.25,1,1,long,-1806.46,0.7982312311238986,229,-1846.3800000000006,0.8621448122314952,237,-1846.3800000000006,-3652.8400000000006,0
1.25,1,1,short,-565.6600000000003,0.9343926512717616,234,-3960.5600000000004,0.7304604663191278,244,-3960.5600000000004,-4526.220000000001,0
1.25,1,2,both,239.5599999999996,1.0259408372189724,256,-3893.0800000000017,0.7586501050188341,267,-3893.0800000000017,-3653.5200000000023,1
1.25,1,2,long,-1269.46,0.8562886317839113,229,-2018.3800000000006,0.8516045454278102,237,-2018.3800000000006,-3287.8400000000006,0
