rr,or_minutes,offset_ticks,direction,bias,max_or_points,regime,trades,net,pf,win,maxdd,seg1,seg2,seg3,seg4,seg5,min_seg,n_pos,min_seg_trades
2.5,15,1,both,vwap,200,adx,1016,17217.15999999999,1.2044111654925536,44.19291338582677,-2641.6400000000003,1518.119999999999,4862.5999999999985,3687.1799999999985,3414.279999999999,3123.959999999998,1518.119999999999,5,171
2.5,15,0,long,none,130,none,1262,16329.619999999988,1.196365671451543,44.45324881141046,-3701.2599999999893,1505.1999999999985,4664.899999999998,2422.359999999998,4422.959999999998,3314.199999999998,1505.1999999999985,5,195
1.5,30,0,long,vwap,200,none,798,13360.979999999992,1.2489699066654938,53.50877192982456,-3036.919999999993,1503.9199999999992,3074.9399999999987,2786.8599999999988,4209.6399999999985,1785.6199999999988,1503.9199999999992,5,137
2.5,60,0,both,vwap_slope,200,adx,691,11107.159999999993,1.250615077753409,54.41389290882779,-1701.1199999999917,2274.559999999999,2302.999999999999,1503.779999999999,2815.199999999999,2388.84,1503.779999999999,5,84
2.5,15,1,long,vwap,130,none,782,16326.819999999996,1.3192293674703504,45.39641943734015,-2793.8399999999965,1500.6999999999991,1837.6799999999985,5285.299999999998,4767.939999999999,2935.199999999999,1500.6999999999991,5,120
1.25,15,0,both,vwap_slope,130,adx,864,15500.139999999992,1.2862332998227954,52.19907407407407,-1825.019999999995,1882.999999999999,1580.4999999999986,1500.4599999999987,3845.119999999999,4015.879999999999,1500.4599999999987,5,113
2.0,15,0,both,vwap,200,none,1597,17098.719999999987,1.1376810520586065,43.95742016280526,-2772.840000000024,1478.8599999999983,2576.7599999999975,3157.0599999999968,5602.239999999998,4283.799999999997,1478.8599999999983,5,305
2.0,30,2,both,vwap,130,none,1172,17400.21999999999,1.233041178391302,47.610921501706486,-2682.619999999959,1901.3199999999983,5023.439999999998,1467.259999999998,7453.359999999999,1554.8399999999988,1467.259999999998,5,134
3.0,60,2,both,vwap_slope,200,adx,690,10634.399999999994,1.2377725259418086,54.347826086956516,-1754.1199999999917,2104.2999999999993,2268.999999999999,1463.779999999999,2722.699999999999,2288.84,1463.779999999999,5,84
1.25,30,0,both,none,130,none,1370,19214.69999999999,1.2277601187998257,50.802919708029194,-1776.0999999999967,1462.7999999999986,3129.0999999999976,2222.919999999998,8925.319999999998,3474.5599999999995,1462.7999999999986,5,156
