rr,or_minutes,offset_ticks,direction,bias,max_or_points,regime,trades,net,pf,win,maxdd
1.0,30,0,long,vwap_slope,200,adx,431,5058.059999999996,1.1673295148163265,56.8445475638051,-1695.3400000000004
1.0,30,0,short,none,0,none,1204,5909.53999999999,1.062311232879948,50.83056478405316,-3756.3399999999933
1.0,30,0,short,none,0,adx,767,-2939.5800000000054,0.9557406549753104,49.934810951760106,-3692.139999999957
1.0,30,0,short,none,130,none,902,5355.019999999993,1.0987258786201657,50.66518847006651,-3924.7399999999943
1.0,30,0,short,none,130,adx,566,2782.1599999999958,1.0774366222429053,50.8833922261484,-2399.500000000002
1.0,30,0,short,none,200,none,1121,5337.959999999991,1.066067164744376,50.579839429081176,-3176.5199999999513
1.0,30,0,short,none,200,adx,709,-598.6600000000055,0.9891048609361962,49.78843441466855,-3692.5600000000027
1.0,30,0,short,vwap,0,none,719,7857.939999999994,1.1345600343029671,51.738525730180804,-3135.7999999999993
1.0,30,0,short,vwap,0,adx,465,-844.100000000004,0.9800998004086131,49.67741935483871,-3259.620000000001
1.0,30,0,short,vwap,130,none,512,4549.119999999996,1.1461623827984682,50.9765625,-2361.419999999996
1.0,30,0,short,vwap,130,adx,332,1990.319999999998,1.090768875750547,50.0,-2043.9000000000005
1.0,30,0,short,vwap,200,none,662,6055.119999999995,1.1232693770327336,51.51057401812689,-2024.1199999999972
1.0,30,0,short,vwap,200,adx,429,163.53999999999655,1.0046483548280187,49.65034965034965,-3039.659999999997
1.0,30,0,short,vwap_slope,0,none,680,7673.799999999995,1.1414083786555862,51.3235294117647,-2960.000000000001
1.0,30,0,short,vwap_slope,0,adx,449,94.73999999999614,1.002385163947922,50.779510022271715,-2816.0600000000004
1.0,30,0,short,vwap_slope,130,none,492,2836.4199999999973,1.0927926855120893,49.796747967479675,-3853.880000000001
1.0,30,0,short,vwap_slope,130,adx,326,2480.759999999997,1.1179130087599636,50.920245398773,-2414.080000000001
